"Placemarkopen","TrackaltitudeMode","Trackwhen","Longitude","Latitude","Altitude"
"","","2010-12-13T20:45:52.2073437Z","13.744443000","46.434581000","1730.989680"
"","","2010-12-13T20:45:52.2073437Z","13.744523000","46.434591000","1726.173840"
"","","2010-12-13T20:45:52.2073437Z","13.744613000","46.434631000","1723.765920"
"","","2010-12-13T20:45:52.2073437Z","13.744733000","46.434641000","1719.468240"
"","","2010-12-13T20:45:52.2073437Z","13.744853000","46.434581000","1715.140080"
"","","2010-12-13T20:45:52.2073437Z","13.744983000","46.434591000","1714.164720"
"","","2010-12-13T20:45:52.2073437Z","13.745113000","46.434611000","1711.756800"
"","","2010-12-13T20:45:52.2073437Z","13.745233000","46.434641000","1710.811920"
"","","2010-12-13T20:45:52.2073437Z","13.745363000","46.434681000","1708.891680"
"","","2010-12-13T20:45:52.2073437Z","13.745453000","46.434731000","1708.404000"
"","","2010-12-13T20:45:52.2073437Z","13.745563000","46.434711000","1704.563520"
"","","2010-12-13T20:45:52.2073437Z","13.745683000","46.434681000","1702.643280"
"","","2010-12-13T20:45:52.2073437Z","13.745783000","46.434661000","1700.235360"
"","","2010-12-13T20:45:52.2073437Z","13.745823000","46.434631000","1696.852080"
"","","2010-12-13T20:45:52.2073437Z","13.745933000","46.434631000","1695.907200"
"","","2010-12-13T20:45:52.2073437Z","13.746043000","46.434631000","1693.499280"
"","","2010-12-13T20:45:52.2073437Z","13.746193000","46.434591000","1692.523920"
"","","2010-12-13T20:45:52.2073437Z","13.746293000","46.434571000","1689.658800"
"","","2010-12-13T20:45:52.2073437Z","13.746383000","46.434611000","1686.763200"
"","","2010-12-13T20:45:52.2073437Z","13.746473000","46.434701000","1686.763200"
"","","2010-12-13T20:45:52.2073437Z","13.746593000","46.434771000","1686.763200"
"","","2010-12-13T20:45:52.2073437Z","13.746733000","46.434811000","1686.763200"
"","","2010-12-13T20:45:52.2073437Z","13.746983000","46.434921000","1686.275520"
"","","2010-12-13T20:45:52.2073437Z","13.747123000","46.434941000","1686.275520"
"","","2010-12-13T20:45:52.2073437Z","13.747253000","46.434991000","1686.275520"
"","","2010-12-13T20:45:52.2073437Z","13.747433000","46.435151000","1685.818320"
"","","2010-12-13T20:45:52.2073437Z","13.747543000","46.435241000","1685.818320"
"","","2010-12-13T20:45:52.2073437Z","13.747663000","46.435291000","1685.330640"
"","","2010-12-13T20:45:52.2073437Z","13.747703000","46.435381000","1685.330640"
"","","2010-12-13T20:45:52.2073437Z","13.747733000","46.435471000","1685.330640"
"","","2010-12-13T20:45:52.2073437Z","13.747863000","46.435531000","1685.330640"
"","","2010-12-13T20:45:52.2073437Z","13.747953000","46.435601000","1684.842960"
"","","2010-12-13T20:45:52.2073437Z","13.747783000","46.435521000","1677.162000"
"","","2010-12-13T20:45:52.2073437Z","13.748093000","46.435591000","1677.162000"
"","","2010-12-13T20:45:52.2073437Z","13.748223000","46.435641000","1677.162000"
"","","2010-12-13T20:45:52.2073437Z","13.748203000","46.435501000","1659.849360"
"","","2010-12-13T20:45:52.2073437Z","13.748233000","46.435421000","1652.168400"
"","","2010-12-13T20:45:52.2073437Z","13.748313000","46.435431000","1649.272800"
"","","2010-12-13T20:45:52.2073437Z","13.748333000","46.435381000","1644.944640"
"","","2010-12-13T20:45:52.2073437Z","13.748253000","46.435231000","1643.512080"


